seller_id,seller_name,seller_since,total_sales,average_transaction_value,dispute_rate,on_time_rate,avg_response_hours,verified,reviews
SELL_00001,Global Traders Inc,2022-08-20T00:00:00Z,892,2100.75,0.01,0.98,2.0,True,"[{""rating"": 5, ""comment"": ""Outstanding seller! Been buying for over a year now, never disappointed""}, {""rating"": 5, ""comment"": ""Always reliable, never had a single issue with quality or delivery""}, {""rating"": 5, ""comment"": ""Best in the business, premium quality products every time""}, {""rating"": 5, ""comment"": ""Lightning fast responses, very professional team""}, {""rating"": 5, ""comment"": ""Consistently excellent service every single time I order""}, {""rating"": 4, ""comment"": ""Great seller, slight price increase recently but still worth it""}, {""rating"": 5, ""comment"": ""Perfect track record, highly recommend to everyone""}, {""rating"": 5, ""comment"": ""Top tier seller, sets the standard for marketplace excellence""}, {""rating"": 5, ""comment"": ""Never disappoints, always exceeds expectations""}, {""rating"": 5, ""comment"": ""Trusted partner for our business operations for 18 months""}]"
SELL_00002,Premium Logistics Co,2022-06-15T00:00:00Z,1456,2450.3,0.02,0.97,3.0,True,"[{""rating"": 5, ""comment"": ""Exceptional service, premium quality completely justified by results""}, {""rating"": 5, ""comment"": ""Most professional seller I've dealt with in 10 years of business""}, {""rating"": 5, ""comment"": ""Perfect for high-value orders, very secure and reliable""}, {""rating"": 5, ""comment"": ""Outstanding communication and real-time tracking""}, {""rating"": 4, ""comment"": ""Pricey but you absolutely get what you pay for""}, {""rating"": 5, ""comment"": ""Been using them for over a year, literally flawless service""}, {""rating"": 5, ""comment"": ""White glove service, handles everything perfectly every time""}, {""rating"": 5, ""comment"": ""Best choice for important business transactions""}, {""rating"": 5, ""comment"": ""Never any surprises, always professional and transparent""}, {""rating"": 5, ""comment"": ""Worth every penny for the peace of mind they provide""}]"
SELL_00003,MegaMart Sellers,2022-12-01T00:00:00Z,1203,1890.6,0.03,0.96,4.2,True,"[{""rating"": 5, ""comment"": ""Excellent in every way, my absolute go-to supplier""}, {""rating"": 5, ""comment"": ""Top tier seller with massive inventory and fast fulfillment""}, {""rating"": 5, ""comment"": ""Amazing quality control and professional packaging""}, {""rating"": 5, ""comment"": ""Never had a single problem in over 50 orders""}, {""rating"": 4, ""comment"": ""Slightly higher prices but worth it for the reliability""}, {""rating"": 5, ""comment"": ""Best customer service in the industry, hands down""}, {""rating"": 5, ""comment"": ""Handles complex bulk orders with ease""}, {""rating"": 5, ""comment"": ""Trusted for all our business supply needs""}, {""rating"": 5, ""comment"": ""Sets the gold standard for marketplace sellers""}]"
SELL_00004,TechSupplies Co,2023-01-15T00:00:00Z,487,1250.5,0.02,0.94,3.5,True,"[{""rating"": 5, ""comment"": ""Excellent service, fast shipping and great communication throughout""}, {""rating"": 5, ""comment"": ""Great quality products, packaging was perfect and professional""}, {""rating"": 4, ""comment"": ""Good seller, had slight delay once but informed me immediately""}, {""rating"": 5, ""comment"": ""Best tech supplier I've worked with, highly professional""}, {""rating"": 5, ""comment"": ""Always delivers on time, products exactly as described""}, {""rating"": 4, ""comment"": ""Very responsive to questions and concerns""}, {""rating"": 5, ""comment"": ""Smooth transaction from start to finish every time""}, {""rating"": 5, ""comment"": ""Will definitely order again, trustworthy seller""}]"
SELL_00005,Quality First Trading,2023-09-10T00:00:00Z,523,1680.7,0.03,0.93,4.5,True,"[{""rating"": 5, ""comment"": ""Lives up to the name, quality is absolutely top-notch""}, {""rating"": 5, ""comment"": ""Very thorough quality checks before shipping anything""}, {""rating"": 4, ""comment"": ""Slightly slower than competitors but worth the wait for quality""}, {""rating"": 5, ""comment"": ""Great for quality-sensitive products and materials""}, {""rating"": 5, ""comment"": ""Never received a defective item, impressive QC""}, {""rating"": 4, ""comment"": ""Professional team, excellent communication""}, {""rating"": 5, ""comment"": ""Reliable partner for our strict quality requirements""}, {""rating"": 5, ""comment"": ""Best quality control process in the marketplace""}]"
SELL_00006,Elite Commerce,2023-05-12T00:00:00Z,654,1580.3,0.05,0.89,8.5,True,"[{""rating"": 5, ""comment"": ""Professional service, handled our bulk order perfectly""}, {""rating"": 4, ""comment"": ""Good products, minor issue was resolved very quickly""}, {""rating"": 5, ""comment"": ""Highly recommend for consistent quality and service""}, {""rating"": 5, ""comment"": ""Great for large orders, reliable inventory management""}, {""rating"": 4, ""comment"": ""Fair pricing, good customer support team""}, {""rating"": 5, ""comment"": ""Been a customer for 8 months, very satisfied overall""}, {""rating"": 4, ""comment"": ""Occasional delays but always communicates well in advance""}]"
SELL_00007,Worldwide Goods Inc,2022-11-22T00:00:00Z,789,1975.25,0.02,0.95,3.8,True,"[{""rating"": 5, ""comment"": ""Excellent international shipping capabilities and expertise""}, {""rating"": 5, ""comment"": ""Handles customs and documentation perfectly every time""}, {""rating"": 5, ""comment"": ""Best choice for cross-border transactions""}, {""rating"": 4, ""comment"": ""Slightly higher fees but worth it for international reliability""}, {""rating"": 5, ""comment"": ""Reliable tracking across multiple countries""}, {""rating"": 5, ""comment"": ""Professional handling of complex international logistics""}, {""rating"": 5, ""comment"": ""Never lost a shipment, very impressive record""}, {""rating"": 5, ""comment"": ""Great for global supply chain needs""}]"
SELL_00008,Reliable Goods Ltd,2023-03-08T00:00:00Z,378,1125.8,0.04,0.91,5.5,True,"[{""rating"": 5, ""comment"": ""Consistently good service over 6 months of ordering""}, {""rating"": 4, ""comment"": ""Good quality products at reasonable prices""}, {""rating"": 5, ""comment"": ""Very reliable for recurring monthly orders""}, {""rating"": 4, ""comment"": ""Quick to resolve any issues that occasionally arise""}, {""rating"": 5, ""comment"": ""Professional approach to business relationships""}, {""rating"": 5, ""comment"": ""Great communication throughout the entire process""}, {""rating"": 4, ""comment"": ""Would recommend to other businesses in our network""}]"
SELL_00009,FastTrack Shipping,2024-03-15T00:00:00Z,198,720.5,0.07,0.85,9.0,True,"[{""rating"": 4, ""comment"": ""Fast as advertised, good service for urgent needs""}, {""rating"": 4, ""comment"": ""Reliable for urgent orders when time matters""}, {""rating"": 3, ""comment"": ""Sometimes rushes too much and misses small details""}, {""rating"": 4, ""comment"": ""Great when you need something delivered quickly""}, {""rating"": 5, ""comment"": ""Saved us multiple times with their fast delivery""}, {""rating"": 4, ""comment"": ""Good option for time-critical situations""}]"
SELL_00010,Prime Suppliers,2023-11-03T00:00:00Z,234,890.4,0.08,0.83,12.0,True,"[{""rating"": 4, ""comment"": ""Good seller overall, reliable most of the time""}, {""rating"": 4, ""comment"": ""Fair prices and decent quality products""}, {""rating"": 3, ""comment"": ""Sometimes slow but eventually gets the job done""}, {""rating"": 4, ""comment"": ""Had one dispute but they resolved it fairly""}, {""rating"": 5, ""comment"": ""Improved significantly over the past few months""}, {""rating"": 4, ""comment"": ""Solid choice for regular standard orders""}]"
